Subj Run Freq InputFile
03 01 18 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_18_2_r01_beta.nii
03 02 18 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_18_2_r02_beta.nii
03 03 18 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_18_2_r03_beta.nii
03 04 18 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_18_2_r04_beta.nii
03 05 18 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_18_2_r05_beta.nii
03 06 18 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_18_2_r06_beta.nii
03 01 19 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_19_2_r01_beta.nii
03 02 19 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_19_2_r02_beta.nii
03 03 19 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_19_2_r03_beta.nii
03 04 19 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_19_2_r04_beta.nii
03 05 19 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_19_2_r05_beta.nii
03 06 19 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_19_2_r06_beta.nii
03 01 20 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_20_2_r01_beta.nii
03 02 20 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_20_2_r02_beta.nii
03 03 20 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_20_2_r03_beta.nii
03 04 20 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_20_2_r04_beta.nii
03 05 20 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_20_2_r05_beta.nii
03 06 20 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN03/beta/beta_20_2_r06_beta.nii
04 01 10 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_10_2_r01_beta.nii
04 02 10 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_10_2_r02_beta.nii
04 03 10 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_10_2_r03_beta.nii
04 04 10 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_10_2_r04_beta.nii
04 05 10 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_10_2_r05_beta.nii
04 06 10 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_10_2_r06_beta.nii
04 01 11 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_11_2_r01_beta.nii
04 02 11 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_11_2_r02_beta.nii
04 03 11 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_11_2_r03_beta.nii
04 04 11 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_11_2_r04_beta.nii
04 05 11 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_11_2_r05_beta.nii
04 06 11 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_11_2_r06_beta.nii
04 01 12 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_12_2_r01_beta.nii
04 02 12 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_12_2_r02_beta.nii
04 03 12 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_12_2_r03_beta.nii
04 04 12 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_12_2_r04_beta.nii
04 05 12 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_12_2_r05_beta.nii
04 06 12 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_12_2_r06_beta.nii
04 01 13 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_13_2_r01_beta.nii
04 02 13 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_13_2_r02_beta.nii
04 03 13 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_13_2_r03_beta.nii
04 04 13 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_13_2_r04_beta.nii
04 05 13 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_13_2_r05_beta.nii
04 06 13 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_13_2_r06_beta.nii
04 01 14 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_14_2_r01_beta.nii
04 02 14 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_14_2_r02_beta.nii
04 03 14 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_14_2_r03_beta.nii
04 04 14 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_14_2_r04_beta.nii
04 05 14 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_14_2_r05_beta.nii
04 06 14 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_14_2_r06_beta.nii
04 01 15 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_15_2_r01_beta.nii
04 02 15 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_15_2_r02_beta.nii
04 03 15 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_15_2_r03_beta.nii
04 04 15 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_15_2_r04_beta.nii
04 05 15 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_15_2_r05_beta.nii
04 06 15 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_15_2_r06_beta.nii
04 01 16 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_16_2_r01_beta.nii
04 02 16 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_16_2_r02_beta.nii
04 03 16 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_16_2_r03_beta.nii
04 04 16 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_16_2_r04_beta.nii
04 05 16 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_16_2_r05_beta.nii
04 06 16 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_16_2_r06_beta.nii
04 01 17 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_17_2_r01_beta.nii
04 02 17 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_17_2_r02_beta.nii
04 03 17 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_17_2_r03_beta.nii
04 04 17 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_17_2_r04_beta.nii
04 05 17 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_17_2_r05_beta.nii
04 06 17 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_17_2_r06_beta.nii
04 01 18 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_18_2_r01_beta.nii
04 02 18 /mnt/ext4/TMN/results_new/glm_beta_freq/TMN04/beta/beta_18_2_r02_beta.nii
